Start time: 1725635416.2383099

Blueprint 1:
         104618 function calls (104506 primitive calls) in 0.065 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011    0.045    0.045 day-19.py:86(breadth_first_search)
     5040    0.006    0.000    0.013    0.000 day-19.py:48(time_to_build_robot)
        6    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
    25353    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     1385    0.004    0.000    0.017    0.000 day-19.py:136(<listcomp>)
     6337    0.004    0.000    0.009    0.000 day-19.py:43(clampT)
     8247    0.003    0.000    0.003    0.000 day-19.py:31(subT)
     7787    0.003    0.000    0.003    0.000 day-19.py:27(addT)
       17    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
     2853    0.002    0.000    0.002    0.000 day-19.py:55(<setcomp>)
       12    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     5441    0.001    0.000    0.001    0.000 day-19.py:35(scaleT)
     5040    0.001    0.000    0.001    0.000 day-19.py:39(lessThanOrEqualT)
       12    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     4837    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2853    0.001    0.000    0.001    0.000 day-19.py:56(<setcomp>)
     1910    0.001    0.000    0.001    0.000 day-19.py:63(<listcomp>)
       93    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       49    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     5188    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        7    0.000    0.000    0.001    0.000 enum.py:179(__new__)
     1412    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2853    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
       13    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       88    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x106243a38}
     1385    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     2243    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        7    0.000    0.000    0.001    0.000 enum.py:545(<listcomp>)
       86    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
     1049    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1958    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       12    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      310    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1362    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       19    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        7    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
      121    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     1020    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       19    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     21/3    0.000    0.000    0.019    0.006 <frozen importlib._bootstrap>:1002(_find_and_load)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      401    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      306    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 socket.py:4(<module>)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     18/3    0.000    0.000    0.018    0.006 <frozen importlib._bootstrap>:659(_load_unlocked)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      239    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      236    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       86    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        7    0.000    0.000    0.002    0.000 enum.py:475(_create_)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       73    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      582    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
     21/3    0.000    0.000    0.019    0.006 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      107    0.000    0.000    0.000    0.000 re.py:289(_compile)
        1    0.000    0.000    0.065    0.065 day-19.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       70    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.002    0.002 process.py:10(<module>)
      107    0.000    0.000    0.000    0.000 re.py:188(match)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        7    0.000    0.000    0.003    0.000 enum.py:528(_convert_)
       86    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       21    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     12/2    0.000    0.000    0.017    0.009 <frozen importlib._bootstrap_external>:844(exec_module)
       19    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  368/366    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       86    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        1    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
       72    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      126    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
